Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.131-72.14.213.102-55950-80-6,192.168.3.131,55950,72.14.213.102,80,6,26/01/2011 01:52:22 AM,39098,4,1,944.0,0.0,944.0,0.0,236.0,472.00000000000006,0.0,0.0,0.0,0.0,24144.45751700854,127.88377922144355,9774.5,11066.038752266624,19931.0,47.0,39098.0,13032.666666666666,10994.267703368576,19931.0,354.0,0,0,0,0,0,0,0,0,0,92,32,102.30702337715483,25.57675584428871,0.0,944.0,157.33333333333334,385.38638619788674,148522.6666666667,1,2,0,1,4,0,0,0,0.0,188.8,236.0,0.0,0,0,0,0,0,0,0,188,0,0,8192,5720,1,20,0,0,0,0,1.295981542708292E15,0.0,1.295981542708292E15,1.295981542708292E15,NeedManualLabel
72.14.213.102-192.168.3.131-80-55950-6,72.14.213.102,80,192.168.3.131,55950,6,26/01/2011 01:52:22 AM,18294,3,1,487.0,0.0,487.0,0.0,162.33333333333331,281.1695810953478,0.0,0.0,0.0,0.0,26620.749972668633,218.65092380015304,6098.0,6268.820542972976,12597.0,88.0,18294.0,9147.0,4879.036790187178,12597.0,5697.0,0,0,0,0,0,0,0,0,0,60,20,163.98819285011479,54.66273095003826,0.0,487.0,97.4,217.79302100847954,47433.80000000001,1,0,1,1,4,0,0,0,0.0,121.75,162.33333333333334,0.0,0,0,0,0,0,0,0,121,0,0,119,0,1,20,0,0,0,0,1.295981542748483E15,0.0,1.295981542748483E15,1.295981542748483E15,NeedManualLabel
192.168.3.131-207.46.148.38-55955-80-6,192.168.3.131,55955,207.46.148.38,80,6,26/01/2011 01:52:23 AM,28123,3,2,448.0,279.0,448.0,0.0,149.33333333333334,258.65292059695236,279.0,0.0,139.5,197.28279195104676,25850.72716282047,177.79042065213528,7030.75,8034.399308597999,15455.0,52.0,12668.0,6334.0,8577.205255792822,12399.0,269.0,15776.0,15776.0,0.0,15776.0,15776.0,0,0,0,0,72,48,106.67425239128116,71.11616826085411,0.0,448.0,121.16666666666666,195.17009675323385,38091.36666666666,1,2,0,2,4,0,0,0,0.0,145.4,149.33333333333334,139.5,0,0,0,0,0,0,0,89,0,55,8192,64240,1,20,0,0,0,0,1.295981543461968E15,0.0,1.295981543461968E15,1.295981543461968E15,NeedManualLabel
192.168.3.131-207.46.148.38-55955-80-6,192.168.3.131,55955,207.46.148.38,80,6,26/01/2011 01:52:23 AM,420,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4761.9047619047615,420.0,0.0,420.0,420.0,420.0,420.0,0.0,420.0,420.0,0,0,0,0,0,0,0,0,0,40,0,4761.9047619047615,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,63961,0,0,20,0,0,0,0,1.295981543490168E15,0.0,1.295981543490168E15,1.295981543490168E15,NeedManualLabel
192.168.3.131-65.55.17.37-55954-80-6,192.168.3.131,55954,65.55.17.37,80,6,26/01/2011 01:52:23 AM,1763490,12,18,1837.0,24044.0,652.0,0.0,153.08333333333334,277.3391289094318,1460.0,0.0,1335.7777777777776,373.48983064438477,14676.011772110984,17.011721075821242,60810.00000000001,298797.5433523987,1613550.0,1.0,1763490.0,160317.27272727274,482262.4885810819,1613550.0,242.0,1708486.0,100499.17647058824,395169.9310047254,1633540.0,1.0,0,0,0,0,252,364,6.804688430328496,10.207032645492745,0.0,1460.0,834.8709677419354,683.3460685936267,466961.84946236556,1,2,0,6,29,0,0,0,1.0,862.7,153.08333333333334,1335.7777777777778,0,0,0,23900,17,320190,0,61,0,801,8192,8190,3,20,0,0,0,0,1.295981543337241E15,0.0,1.295981543337241E15,1.295981543337241E15,NeedManualLabel
192.168.3.131-208.82.236.129-58264-80-6,192.168.3.131,58264,208.82.236.129,80,6,26/01/2011 01:52:26 AM,123049,3,3,553.0,216.0,553.0,0.0,184.33333333333334,319.27469886186304,216.0,0.0,72.0,124.70765814495917,6249.542865037505,48.761062666092364,24609.8,34325.82026259533,71971.0,1.0,51077.0,25538.5,35554.036064840795,50679.0,398.0,72440.0,36220.0,51221.40101559113,72439.0,1.0,0,0,0,0,72,72,24.380531333046182,24.380531333046182,0.0,553.0,109.85714285714285,211.33892887289565,44664.14285714285,1,2,0,2,5,0,0,0,1.0,128.16666666666666,184.33333333333334,72.0,0,0,0,0,0,0,0,92,0,36,8192,4933,1,20,0,0,0,0,1.295981546609581E15,0.0,1.295981546609581E15,1.295981546609581E15,NeedManualLabel
192.168.3.131-208.82.236.129-58264-80-6,192.168.3.131,58264,208.82.236.129,80,6,26/01/2011 01:52:26 AM,2293,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,872.2197993894462,2293.0,0.0,2293.0,2293.0,2293.0,2293.0,0.0,2293.0,2293.0,0,0,0,0,0,0,0,0,0,40,0,872.2197993894462,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16371,0,0,20,0,0,0,0,1.295981546732736E15,0.0,1.295981546732736E15,1.295981546732736E15,NeedManualLabel
192.168.3.131-208.82.236.129-58265-80-6,192.168.3.131,58265,208.82.236.129,80,6,26/01/2011 01:52:26 AM,169098,4,7,606.0,6648.0,606.0,0.0,151.5,303.0,1460.0,0.0,949.7142857142858,691.0816918150159,42898.20104318206,65.05103549421045,16909.8,27120.23251211374,66463.0,1.0,117547.0,39182.333333333336,34780.76816767182,67354.0,308.0,119265.0,19877.5,30584.330940859243,66823.0,1.0,0,0,0,0,92,152,23.65492199789471,41.39611349631575,0.0,1460.0,604.5,684.9988055729466,469223.36363636353,1,2,0,5,10,0,0,0,1.0,659.4545454545455,151.5,949.7142857142857,0,0,0,7254,6,61007,0,55,0,604,8192,4986,1,20,0,0,0,0,1.295981546736952E15,0.0,1.295981546736952E15,1.295981546736952E15,NeedManualLabel
192.168.3.131-208.82.236.129-58265-80-6,192.168.3.131,58265,208.82.236.129,80,6,26/01/2011 01:52:26 AM,708,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2824.858757062147,708.0,0.0,708.0,708.0,708.0,708.0,0.0,708.0,708.0,0,0,0,0,0,0,0,0,0,40,0,2824.858757062147,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16425,0,0,20,0,0,0,0,1.295981546906087E15,0.0,1.295981546906087E15,1.295981546906087E15,NeedManualLabel
192.168.3.131-65.54.95.142-55973-80-6,192.168.3.131,55973,65.54.95.142,80,6,26/01/2011 01:52:25 AM,3275419,14,25,388.0,33204.0,388.0,0.0,27.71428571428571,103.69736186202067,1460.0,0.0,1328.16,406.7160844290933,10255.787122197191,11.906873593882187,86195.23684210527,521338.9656775131,3215290.0,1.0,60129.0,4625.307692307692,5851.025955400405,15275.0,133.0,3261722.0,135905.08333333334,655922.099480466,3215310.0,1.0,0,0,0,0,292,512,4.27426231575258,7.632611278129607,0.0,1460.0,839.8000000000002,716.2981473502747,513083.03589743585,1,2,0,2,38,0,0,0,1.0,861.3333333333334,27.714285714285715,1328.16,0,0,0,33592,24,726250,0,9,0,851,8192,4106,1,20,0,0,0,0,1.295981545127681E15,0.0,1.295981545127681E15,1.295981545127681E15,NeedManualLabel
